NAME,CODE,OPEN,HIGH,LOW,CLOSE
CITY UNION  ,532210, 167.7, 171.0, 166.0, 169.55
GAYATRI BIO ,524564, 6.45, 6.63, 6.25, 6.25
DURO PACK   ,526355, 17.4, 17.5, 16.5, 16.5
BRAHM INFRA ,535693, 16.0, 16.75, 15.0, 15.05
FRASER      ,539032, 6.28, 6.5, 5.98, 5.98
V GUARD IND ,532953, 225.0, 228.25, 222.4, 226.8
PALSOFT INFO,511597, 2.29, 2.29, 2.29, 2.29
GEOJITFSL   ,532285, 57.95, 57.95, 55.1, 56.45
CENTRAL BK  ,532885, 17.1, 17.2, 16.65, 16.8
AHMED.STEEL ,522273, 16.8, 16.8, 15.35, 15.35
EXCEL       ,533090, 2.18, 2.24, 2.16, 2.23
EQUITAS     ,539844, 82.6, 85.2, 81.75, 84.6
INFLAME     ,541083, 179.0, 184.8, 179.0, 184.0
SANGAM INDIA,514234, 82.0, 83.2, 82.0, 83.2
IRBINVIT    ,540526, 54.8, 55.42, 54.5, 55.36
GENCON      ,539407, 43.1, 43.25, 42.85, 43.2
VEERHEALTH  ,511523, 9.5, 9.5, 9.35, 9.35
PREM SOMANI ,530669, 7.56, 7.56, 7.56, 7.56
GRASIM IND. ,500300, 1425.0, 1455.0, 1405.15, 1419.5
SANDHAR     ,541163, 188.1, 188.45, 185.5, 186.85
INSILCO LTD.,500211, 7.79, 7.79, 7.32, 7.35
CENTURY TEXT,500040, 481.95, 485.95, 470.0, 472.55
NAT.PLASTIC ,526616, 25.6, 27.0, 25.6, 26.65
BCP LTD     ,537766, 3.21, 3.25, 3.05, 3.1
SBC         ,542725, 42.7, 42.7, 42.55, 42.55
SUPERIOR    ,539835, 156.6, 157.05, 156.5, 156.95
SKM EGG PROD,532143, 53.4, 54.65, 51.25, 53.25
ENGINRS.(I) ,532178, 75.0, 75.0, 73.8, 74.15
SETUINFRA   ,533605, 0.7, 0.72, 0.69, 0.72
667GOI2050  ,800330, 96.95, 96.95, 96.9, 96.9
JJ FINANCE  ,523062, 5.88, 5.88, 5.88, 5.88
BERYL DRUGS ,524606, 6.05, 6.35, 6.05, 6.35
URJAPP      ,890152, 1.74, 1.89, 1.74, 1.83
AINFRA      ,539620, 24.3, 24.4, 23.0, 23.35
SHAKTI PUMPS,531431, 542.0, 554.05, 534.8, 546.5
ORBIT EXPORT,512626, 57.45, 60.8, 55.2, 59.2
SIKA INTER. ,523606, 302.25, 309.0, 287.0, 296.0
93STFCL23   ,936234, 1094.0, 1099.95, 1094.0, 1099.94
739NHAI31A  ,935664, 1262.55, 1264.2, 1262.3, 1264.2
975HLFL26A  ,973078, 1002006.0, 1002006.0, 1002006.0, 1002006.0
RPEL        ,539837, 258.9, 260.0, 242.5, 257.85
RASI ELECTRO,531233, 4.23, 4.24, 4.13, 4.13
SURYACHAKRA ,532874, 0.42, 0.44, 0.42, 0.44
GRPLTD      ,509152, 875.0, 900.0, 865.0, 897.3
PML         ,539113, 1102.75, 1102.75, 1072.75, 1092.75
PRIME INDS. ,519299, 7.1, 7.24, 7.1, 7.23
BHAGYA INL  ,512296, 46.65, 50.75, 46.65, 49.7
COAST CORP  ,501831, 178.9, 179.05, 176.1, 176.5
MAHA.RUBTECH,514450, 36.45, 39.9, 36.45, 39.9
WABCO       ,533023, 6825.0, 7000.0, 6809.05, 6926.05
HBL P SYS   ,517271, 35.25, 35.6, 33.55, 34.35
ARSHIYA     ,506074, 29.95, 30.45, 28.4, 30.45
WELSPUN (I) ,514162, 83.9, 84.5, 82.5, 82.85
ABB LTD.    ,500002, 1378.65, 1386.3, 1367.0, 1370.95
TRITON VALVE,505978, 896.0, 896.0, 871.0, 884.7
ANANTRAJ    ,515055, 52.5, 56.2, 52.4, 55.4
GOLDEN LAMIN,526951, 819.95, 823.85, 800.0, 810.95
W.S.INDUSTR.,504220, 4.09, 4.51, 4.09, 4.09
APOLLO TYRES,500877, 221.2, 221.3, 212.0, 215.1
BRAWN BIO   ,530207, 29.65, 29.65, 29.65, 29.65
WELCURE DRUG,524661, 2.18, 2.18, 2.18, 2.18
MARGO FIN   ,500206, 10.19, 10.19, 9.23, 9.23
SAFFRON IND ,531436, 2.15, 2.15, 2.15, 2.15
TCI DEVELP  ,533393, 299.8, 299.8, 299.8, 299.8
MAANALU     ,532906, 184.6, 184.6, 180.2, 181.55
HAZ MUL PRO ,532467, 5.25, 5.25, 4.89, 5.1
CREATIVE    ,539527, 360.0, 360.0, 360.0, 360.0
PVVINFRA    ,536659, 4.4, 4.79, 4.35, 4.76
IP RINGS LTD,523638, 102.75, 103.0, 100.8, 100.8
GAJRA BEVEL ,505711, 1.72, 1.75, 1.71, 1.75
NAT STL AGRO,513179, 5.15, 5.15, 4.75, 4.98
ATUL AUTO   ,531795, 177.2, 177.2, 173.0, 173.5
CHITRA.SPIN.,521244, 10.19, 10.19, 10.19, 10.19
POPULAR EST ,531870, 6.9, 6.9, 6.9, 6.9
DLF LIMITED ,532868, 247.5, 253.45, 247.0, 248.55
VELAN HOTELS,526755, 2.86, 2.86, 2.76, 2.85
DEL         ,542679, 13.7, 13.7, 12.45, 12.45
MNKALCOLTD  ,539045, 11.99, 11.99, 10.65, 10.88
FSC         ,540798, 74.5, 75.4, 74.5, 74.5
KOPRAN LTD. ,524280, 184.0, 193.0, 181.5, 188.75
